job_title,company,location,description,skills_list,date_posted
Cloud Engineer,Google,Mumbai,"Looking for a candidate with experience in TensorFlow, Python, React, Deep Learning, Spark, Tableau, NLP.","TensorFlow, Python, React, Deep Learning, Spark, Tableau, NLP",2024-11-12
Cloud Engineer,Capgemini,Chennai,"Looking for a candidate with experience in Tableau, Deep Learning, Python, Power BI, Scikit-learn, Kubernetes, Spark.","Tableau, Deep Learning, Python, Power BI, Scikit-learn, Kubernetes, Spark",2023-03-13
Data Scientist,Microsoft,Chennai,"Looking for a candidate with experience in Machine Learning, Docker, Deep Learning, Node.js, AWS, PyTorch, Spark.","Machine Learning, Docker, Deep Learning, Node.js, AWS, PyTorch, Spark",2023-08-13
AI Engineer,IBM,Chennai,"Looking for a candidate with experience in Hadoop, React, SQL, Docker, AWS, NLP.","Hadoop, React, SQL, Docker, AWS, NLP",2024-11-09
Full Stack Developer,Amazon,Bangalore,"Looking for a candidate with experience in TensorFlow, Spark, AWS, NumPy, React, PyTorch.","TensorFlow, Spark, AWS, NumPy, React, PyTorch",2024-05-29
AI Engineer,Flipkart,Delhi,"Looking for a candidate with experience in AWS, SQL, Node.js, Kubernetes, Pandas, TensorFlow, React.","AWS, SQL, Node.js, Kubernetes, Pandas, TensorFlow, React",2024-10-21
NLP Engineer,TCS,Hyderabad,"Looking for a candidate with experience in AWS, Pandas, NumPy, Hadoop, Spark, Docker.","AWS, Pandas, NumPy, Hadoop, Spark, Docker",2024-10-31
Data Analyst,Adobe,Bangalore,"Looking for a candidate with experience in Deep Learning, Machine Learning, Hadoop, Node.js, SQL, NumPy, Pandas.","Deep Learning, Machine Learning, Hadoop, Node.js, SQL, NumPy, Pandas",2023-09-14
Machine Learning Engineer,Amazon,Bangalore,"Looking for a candidate with experience in SQL, React, PyTorch, Power BI, Java, AWS.","SQL, React, PyTorch, Power BI, Java, AWS",2024-05-14
Backend Developer,Accenture,Chennai,"Looking for a candidate with experience in Docker, Tableau, Kubernetes, Power BI, Pandas, NumPy, Spark.","Docker, Tableau, Kubernetes, Power BI, Pandas, NumPy, Spark",2024-06-29
Machine Learning Engineer,Accenture,Chennai,"Looking for a candidate with experience in Machine Learning, AWS, Java, Spark, Scikit-learn, NLP.","Machine Learning, AWS, Java, Spark, Scikit-learn, NLP",2023-11-27
Cloud Engineer,TCS,Pune,"Looking for a candidate with experience in Tableau, Docker, TensorFlow, PyTorch, NLP, Node.js, Kubernetes.","Tableau, Docker, TensorFlow, PyTorch, NLP, Node.js, Kubernetes",2024-06-11
NLP Engineer,IBM,Hyderabad,"Looking for a candidate with experience in Pandas, NumPy, Node.js, Hadoop, AWS.","Pandas, NumPy, Node.js, Hadoop, AWS",2024-11-07
Full Stack Developer,Flipkart,Hyderabad,"Looking for a candidate with experience in Docker, NumPy, Spark, Power BI, React.","Docker, NumPy, Spark, Power BI, React",2023-02-06
DevOps Engineer,Adobe,Pune,"Looking for a candidate with experience in SQL, React, Hadoop, Spark, TensorFlow, PyTorch, Python.","SQL, React, Hadoop, Spark, TensorFlow, PyTorch, Python",2024-10-24
Data Scientist,TCS,Delhi,"Looking for a candidate with experience in PyTorch, Docker, Hadoop, Pandas, Power BI, Spark.","PyTorch, Docker, Hadoop, Pandas, Power BI, Spark",2023-12-08
NLP Engineer,Meta,Mumbai,"Looking for a candidate with experience in Pandas, AWS, Machine Learning, SQL, Power BI, Python, Spark.","Pandas, AWS, Machine Learning, SQL, Power BI, Python, Spark",2024-02-12
DevOps Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in Pandas, NumPy, React, PyTorch, Node.js.","Pandas, NumPy, React, PyTorch, Node.js",2023-12-10
Backend Developer,Oracle,Bangalore,"Looking for a candidate with experience in NLP, Power BI, AWS, TensorFlow.","NLP, Power BI, AWS, TensorFlow",2024-02-26
Data Scientist,Accenture,Mumbai,"Looking for a candidate with experience in Machine Learning, Kubernetes, Scikit-learn, React, TensorFlow, Java.","Machine Learning, Kubernetes, Scikit-learn, React, TensorFlow, Java",2024-08-02
Data Analyst,IBM,Pune,"Looking for a candidate with experience in Python, Pandas, Hadoop, Docker.","Python, Pandas, Hadoop, Docker",2024-03-15
Software Engineer,Infosys,Chennai,"Looking for a candidate with experience in Scikit-learn, AWS, Pandas, Java, Node.js.","Scikit-learn, AWS, Pandas, Java, Node.js",2024-09-25
Machine Learning Engineer,Oracle,Pune,"Looking for a candidate with experience in Hadoop, Deep Learning, TensorFlow, Machine Learning.","Hadoop, Deep Learning, TensorFlow, Machine Learning",2024-08-27
Data Scientist,Capgemini,Mumbai,"Looking for a candidate with experience in TensorFlow, Pandas, SQL, PyTorch.","TensorFlow, Pandas, SQL, PyTorch",2023-08-03
AI Engineer,Oracle,Pune,"Looking for a candidate with experience in NLP, Spark, React, Pandas, Java.","NLP, Spark, React, Pandas, Java",2023-12-16
Backend Developer,Infosys,Bangalore,"Looking for a candidate with experience in NLP, Kubernetes, React, AWS, Python.","NLP, Kubernetes, React, AWS, Python",2024-04-03
NLP Engineer,IBM,Mumbai,"Looking for a candidate with experience in Tableau, Deep Learning, Node.js, TensorFlow, Kubernetes, React.","Tableau, Deep Learning, Node.js, TensorFlow, Kubernetes, React",2024-03-16
Machine Learning Engineer,Amazon,Hyderabad,"Looking for a candidate with experience in Hadoop, Deep Learning, AWS, Java, Machine Learning, Kubernetes, SQL.","Hadoop, Deep Learning, AWS, Java, Machine Learning, Kubernetes, SQL",2024-06-24
DevOps Engineer,Google,Pune,"Looking for a candidate with experience in Java, Scikit-learn, Python, PyTorch, React, Power BI.","Java, Scikit-learn, Python, PyTorch, React, Power BI",2024-05-14
Data Scientist,Capgemini,Delhi,"Looking for a candidate with experience in Node.js, React, Kubernetes, Scikit-learn, Spark, SQL.","Node.js, React, Kubernetes, Scikit-learn, Spark, SQL",2023-08-08
DevOps Engineer,Amazon,Hyderabad,"Looking for a candidate with experience in Power BI, AWS, Deep Learning, Pandas, React, Kubernetes.","Power BI, AWS, Deep Learning, Pandas, React, Kubernetes",2023-10-23
Data Analyst,Oracle,Hyderabad,"Looking for a candidate with experience in Power BI, NumPy, Docker, NLP, Pandas, Tableau.","Power BI, NumPy, Docker, NLP, Pandas, Tableau",2023-09-06
Data Scientist,TCS,Delhi,"Looking for a candidate with experience in Spark, Deep Learning, Tableau, React, Kubernetes.","Spark, Deep Learning, Tableau, React, Kubernetes",2023-11-07
Full Stack Developer,Meta,Hyderabad,"Looking for a candidate with experience in Deep Learning, Power BI, Python, PyTorch, NumPy, Docker, AWS.","Deep Learning, Power BI, Python, PyTorch, NumPy, Docker, AWS",2024-05-03
AI Engineer,Accenture,Delhi,"Looking for a candidate with experience in Kubernetes, PyTorch, Machine Learning, NumPy, Node.js, AWS, Power BI.","Kubernetes, PyTorch, Machine Learning, NumPy, Node.js, AWS, Power BI",2024-11-29
Software Engineer,Meta,Chennai,"Looking for a candidate with experience in Kubernetes, Pandas, AWS, Tableau, Machine Learning, PyTorch.","Kubernetes, Pandas, AWS, Tableau, Machine Learning, PyTorch",2023-06-06
Data Analyst,Oracle,Delhi,"Looking for a candidate with experience in NumPy, React, Machine Learning, Node.js, NLP, PyTorch.","NumPy, React, Machine Learning, Node.js, NLP, PyTorch",2023-06-18
DevOps Engineer,Capgemini,Hyderabad,"Looking for a candidate with experience in TensorFlow, Hadoop, PyTorch, AWS, Spark, Tableau.","TensorFlow, Hadoop, PyTorch, AWS, Spark, Tableau",2023-09-26
DevOps Engineer,Adobe,Chennai,"Looking for a candidate with experience in NLP, Node.js, Spark, Machine Learning, SQL, React.","NLP, Node.js, Spark, Machine Learning, SQL, React",2024-08-19
DevOps Engineer,Accenture,Chennai,"Looking for a candidate with experience in Python, React, Tableau, Node.js, Power BI, Docker, Scikit-learn.","Python, React, Tableau, Node.js, Power BI, Docker, Scikit-learn",2024-08-18
Software Engineer,Google,Delhi,"Looking for a candidate with experience in Deep Learning, AWS, NLP, PyTorch, Machine Learning, Hadoop.","Deep Learning, AWS, NLP, PyTorch, Machine Learning, Hadoop",2024-07-18
NLP Engineer,Microsoft,Hyderabad,"Looking for a candidate with experience in Spark, TensorFlow, NumPy, Python, Pandas, Power BI.","Spark, TensorFlow, NumPy, Python, Pandas, Power BI",2024-02-18
Data Analyst,Amazon,Pune,"Looking for a candidate with experience in Deep Learning, React, Hadoop, Scikit-learn, Spark, PyTorch, TensorFlow.","Deep Learning, React, Hadoop, Scikit-learn, Spark, PyTorch, TensorFlow",2024-02-27
Machine Learning Engineer,IBM,Chennai,"Looking for a candidate with experience in Python, Machine Learning, Kubernetes, Tableau.","Python, Machine Learning, Kubernetes, Tableau",2023-10-01
Software Engineer,Accenture,Mumbai,"Looking for a candidate with experience in Hadoop, Kubernetes, Tableau, TensorFlow, SQL, Python, Pandas.","Hadoop, Kubernetes, Tableau, TensorFlow, SQL, Python, Pandas",2023-08-27
Full Stack Developer,Microsoft,Chennai,"Looking for a candidate with experience in TensorFlow, Java, Scikit-learn, Machine Learning, Deep Learning, Docker, PyTorch.","TensorFlow, Java, Scikit-learn, Machine Learning, Deep Learning, Docker, PyTorch",2024-08-26
Software Engineer,Adobe,Delhi,"Looking for a candidate with experience in React, Tableau, NumPy, Scikit-learn.","React, Tableau, NumPy, Scikit-learn",2024-05-30
Data Analyst,Amazon,Bangalore,"Looking for a candidate with experience in Java, Tableau, SQL, React, TensorFlow, Docker, NLP.","Java, Tableau, SQL, React, TensorFlow, Docker, NLP",2024-01-16
AI Engineer,Capgemini,Bangalore,"Looking for a candidate with experience in NLP, Kubernetes, Java, Power BI.","NLP, Kubernetes, Java, Power BI",2024-05-24
Cloud Engineer,Meta,Chennai,"Looking for a candidate with experience in Java, NumPy, Node.js, NLP, TensorFlow, Pandas.","Java, NumPy, Node.js, NLP, TensorFlow, Pandas",2024-07-14
Cloud Engineer,IBM,Mumbai,"Looking for a candidate with experience in TensorFlow, Kubernetes, PyTorch, Python, Java, NLP.","TensorFlow, Kubernetes, PyTorch, Python, Java, NLP",2024-09-29
Cloud Engineer,Google,Pune,"Looking for a candidate with experience in Scikit-learn, Hadoop, React, Kubernetes, Power BI, NumPy, Python.","Scikit-learn, Hadoop, React, Kubernetes, Power BI, NumPy, Python",2024-09-28
Data Analyst,TCS,Bangalore,"Looking for a candidate with experience in SQL, Python, Power BI, Java, Node.js, NumPy, Kubernetes.","SQL, Python, Power BI, Java, Node.js, NumPy, Kubernetes",2023-07-15
NLP Engineer,Flipkart,Pune,"Looking for a candidate with experience in Node.js, Machine Learning, NLP, React, PyTorch.","Node.js, Machine Learning, NLP, React, PyTorch",2024-07-01
Data Analyst,Meta,Mumbai,"Looking for a candidate with experience in NumPy, PyTorch, Pandas, Python, Deep Learning.","NumPy, PyTorch, Pandas, Python, Deep Learning",2023-06-26
NLP Engineer,Flipkart,Mumbai,"Looking for a candidate with experience in React, Scikit-learn, Python, Machine Learning, Docker, AWS, Spark.","React, Scikit-learn, Python, Machine Learning, Docker, AWS, Spark",2023-11-19
DevOps Engineer,Accenture,Delhi,"Looking for a candidate with experience in Spark, TensorFlow, Docker, Power BI.","Spark, TensorFlow, Docker, Power BI",2023-10-06
AI Engineer,Oracle,Chennai,"Looking for a candidate with experience in TensorFlow, SQL, Scikit-learn, Pandas, NLP, Docker.","TensorFlow, SQL, Scikit-learn, Pandas, NLP, Docker",2024-08-10
AI Engineer,Microsoft,Mumbai,"Looking for a candidate with experience in Power BI, Deep Learning, TensorFlow, SQL, Python, Java, Spark.","Power BI, Deep Learning, TensorFlow, SQL, Python, Java, Spark",2023-06-04
Cloud Engineer,IBM,Pune,"Looking for a candidate with experience in AWS, PyTorch, NLP, Spark.","AWS, PyTorch, NLP, Spark",2023-04-02
Cloud Engineer,Adobe,Mumbai,"Looking for a candidate with experience in Java, Power BI, Spark, Scikit-learn, NLP, Node.js.","Java, Power BI, Spark, Scikit-learn, NLP, Node.js",2023-07-26
Machine Learning Engineer,Microsoft,Mumbai,"Looking for a candidate with experience in Power BI, Machine Learning, Docker, PyTorch, NumPy, Tableau, Hadoop.","Power BI, Machine Learning, Docker, PyTorch, NumPy, Tableau, Hadoop",2024-09-27
NLP Engineer,IBM,Bangalore,"Looking for a candidate with experience in Tableau, PyTorch, AWS, Deep Learning, Machine Learning, TensorFlow.","Tableau, PyTorch, AWS, Deep Learning, Machine Learning, TensorFlow",2024-10-18
DevOps Engineer,Meta,Chennai,"Looking for a candidate with experience in Deep Learning, Power BI, NLP, Scikit-learn, AWS, Java, Hadoop.","Deep Learning, Power BI, NLP, Scikit-learn, AWS, Java, Hadoop",2023-07-28
AI Engineer,Flipkart,Chennai,"Looking for a candidate with experience in SQL, AWS, Scikit-learn, Node.js, Power BI, Pandas.","SQL, AWS, Scikit-learn, Node.js, Power BI, Pandas",2024-08-01
Data Scientist,Infosys,Bangalore,"Looking for a candidate with experience in Deep Learning, Docker, TensorFlow, React, Machine Learning, SQL.","Deep Learning, Docker, TensorFlow, React, Machine Learning, SQL",2024-05-19
DevOps Engineer,Accenture,Pune,"Looking for a candidate with experience in Pandas, Java, Node.js, Scikit-learn, Hadoop, PyTorch.","Pandas, Java, Node.js, Scikit-learn, Hadoop, PyTorch",2023-02-17
Data Scientist,Adobe,Mumbai,"Looking for a candidate with experience in Kubernetes, AWS, SQL, Python, Machine Learning.","Kubernetes, AWS, SQL, Python, Machine Learning",2023-09-09
Cloud Engineer,TCS,Bangalore,"Looking for a candidate with experience in NLP, PyTorch, Hadoop, Tableau, Pandas, Scikit-learn.","NLP, PyTorch, Hadoop, Tableau, Pandas, Scikit-learn",2024-05-22
Full Stack Developer,Meta,Hyderabad,"Looking for a candidate with experience in NLP, AWS, Scikit-learn, SQL, Node.js, PyTorch.","NLP, AWS, Scikit-learn, SQL, Node.js, PyTorch",2023-11-17
AI Engineer,Capgemini,Hyderabad,"Looking for a candidate with experience in React, Java, Scikit-learn, TensorFlow, NLP.","React, Java, Scikit-learn, TensorFlow, NLP",2023-10-12
Data Analyst,Adobe,Delhi,"Looking for a candidate with experience in React, Spark, SQL, Pandas, NLP.","React, Spark, SQL, Pandas, NLP",2023-06-07
Data Analyst,Google,Pune,"Looking for a candidate with experience in AWS, React, TensorFlow, Power BI, Docker, Java.","AWS, React, TensorFlow, Power BI, Docker, Java",2024-07-24
Data Analyst,Capgemini,Mumbai,"Looking for a candidate with experience in Scikit-learn, AWS, NLP, TensorFlow.","Scikit-learn, AWS, NLP, TensorFlow",2023-03-12
Software Engineer,Oracle,Chennai,"Looking for a candidate with experience in NumPy, Scikit-learn, Machine Learning, Deep Learning, TensorFlow, AWS.","NumPy, Scikit-learn, Machine Learning, Deep Learning, TensorFlow, AWS",2023-03-10
Data Scientist,Infosys,Bangalore,"Looking for a candidate with experience in React, NLP, PyTorch, Node.js, Deep Learning, Python, Java.","React, NLP, PyTorch, Node.js, Deep Learning, Python, Java",2023-02-07
Machine Learning Engineer,Capgemini,Hyderabad,"Looking for a candidate with experience in Kubernetes, Hadoop, TensorFlow, Spark, NLP, Node.js.","Kubernetes, Hadoop, TensorFlow, Spark, NLP, Node.js",2024-08-18
NLP Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in Docker, Machine Learning, NumPy, Node.js, TensorFlow.","Docker, Machine Learning, NumPy, Node.js, TensorFlow",2024-03-13
Software Engineer,Infosys,Delhi,"Looking for a candidate with experience in Java, AWS, NLP, Power BI.","Java, AWS, NLP, Power BI",2023-06-08
AI Engineer,Capgemini,Chennai,"Looking for a candidate with experience in Pandas, Deep Learning, SQL, Python, React, Kubernetes.","Pandas, Deep Learning, SQL, Python, React, Kubernetes",2024-02-10
Machine Learning Engineer,TCS,Pune,"Looking for a candidate with experience in Java, Machine Learning, Docker, AWS, Scikit-learn, Power BI.","Java, Machine Learning, Docker, AWS, Scikit-learn, Power BI",2023-10-25
Data Scientist,Adobe,Chennai,"Looking for a candidate with experience in Spark, Pandas, TensorFlow, Tableau, Python, Node.js.","Spark, Pandas, TensorFlow, Tableau, Python, Node.js",2023-02-03
Data Scientist,Capgemini,Mumbai,"Looking for a candidate with experience in Python, AWS, PyTorch, Docker, Pandas.","Python, AWS, PyTorch, Docker, Pandas",2023-02-23
Cloud Engineer,Oracle,Hyderabad,"Looking for a candidate with experience in Scikit-learn, Spark, NLP, Node.js, Docker, Pandas.","Scikit-learn, Spark, NLP, Node.js, Docker, Pandas",2024-08-30
Software Engineer,TCS,Pune,"Looking for a candidate with experience in Spark, PyTorch, Scikit-learn, Deep Learning, Hadoop, Machine Learning.","Spark, PyTorch, Scikit-learn, Deep Learning, Hadoop, Machine Learning",2024-01-24
Data Analyst,Accenture,Hyderabad,"Looking for a candidate with experience in NLP, Scikit-learn, Java, TensorFlow, Power BI, Spark.","NLP, Scikit-learn, Java, TensorFlow, Power BI, Spark",2023-09-09
NLP Engineer,Capgemini,Hyderabad,"Looking for a candidate with experience in Spark, Power BI, AWS, Kubernetes, SQL, NumPy.","Spark, Power BI, AWS, Kubernetes, SQL, NumPy",2023-06-25
NLP Engineer,Accenture,Mumbai,"Looking for a candidate with experience in Deep Learning, Node.js, Python, Tableau, NLP.","Deep Learning, Node.js, Python, Tableau, NLP",2023-02-23
NLP Engineer,Google,Delhi,"Looking for a candidate with experience in Docker, Java, Hadoop, Spark.","Docker, Java, Hadoop, Spark",2023-06-29
Full Stack Developer,IBM,Bangalore,"Looking for a candidate with experience in Power BI, SQL, Python, TensorFlow.","Power BI, SQL, Python, TensorFlow",2023-10-21
NLP Engineer,Meta,Hyderabad,"Looking for a candidate with experience in Python, Deep Learning, React, Power BI.","Python, Deep Learning, React, Power BI",2023-09-09
AI Engineer,Adobe,Pune,"Looking for a candidate with experience in NLP, Power BI, PyTorch, React, Node.js, Java, Docker.","NLP, Power BI, PyTorch, React, Node.js, Java, Docker",2024-09-18
DevOps Engineer,Accenture,Bangalore,"Looking for a candidate with experience in TensorFlow, Deep Learning, AWS, PyTorch, Tableau.","TensorFlow, Deep Learning, AWS, PyTorch, Tableau",2023-01-21
AI Engineer,Oracle,Bangalore,"Looking for a candidate with experience in Scikit-learn, Java, SQL, Pandas, PyTorch.","Scikit-learn, Java, SQL, Pandas, PyTorch",2024-07-24
Full Stack Developer,Amazon,Pune,"Looking for a candidate with experience in Machine Learning, Tableau, Pandas, React.","Machine Learning, Tableau, Pandas, React",2024-06-04
Cloud Engineer,Adobe,Hyderabad,"Looking for a candidate with experience in Spark, Kubernetes, NLP, Power BI, SQL, Java, Scikit-learn.","Spark, Kubernetes, NLP, Power BI, SQL, Java, Scikit-learn",2023-06-02
Software Engineer,Meta,Hyderabad,"Looking for a candidate with experience in Python, NLP, Hadoop, Node.js.","Python, NLP, Hadoop, Node.js",2023-08-24
Data Analyst,IBM,Hyderabad,"Looking for a candidate with experience in Spark, AWS, Scikit-learn, NumPy, NLP, Power BI.","Spark, AWS, Scikit-learn, NumPy, NLP, Power BI",2023-11-02
Data Scientist,IBM,Mumbai,"Looking for a candidate with experience in PyTorch, Deep Learning, Docker, NumPy, Python.","PyTorch, Deep Learning, Docker, NumPy, Python",2024-04-29
DevOps Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in Spark, Node.js, SQL, Tableau.","Spark, Node.js, SQL, Tableau",2024-04-27
NLP Engineer,Capgemini,Bangalore,"Looking for a candidate with experience in Tableau, AWS, Machine Learning, NumPy, Python, Spark, Hadoop.","Tableau, AWS, Machine Learning, NumPy, Python, Spark, Hadoop",2023-07-26
Data Scientist,Capgemini,Bangalore,"Looking for a candidate with experience in NumPy, Scikit-learn, Deep Learning, Machine Learning, Docker, Power BI.","NumPy, Scikit-learn, Deep Learning, Machine Learning, Docker, Power BI",2023-07-23
Full Stack Developer,Oracle,Mumbai,"Looking for a candidate with experience in Pandas, Python, Java, Tableau, NumPy.","Pandas, Python, Java, Tableau, NumPy",2024-01-03
Backend Developer,Capgemini,Bangalore,"Looking for a candidate with experience in NLP, Machine Learning, Hadoop, Python, Power BI, AWS, SQL.","NLP, Machine Learning, Hadoop, Python, Power BI, AWS, SQL",2023-04-27
Machine Learning Engineer,IBM,Hyderabad,"Looking for a candidate with experience in Machine Learning, Tableau, Docker, NumPy, Deep Learning, SQL.","Machine Learning, Tableau, Docker, NumPy, Deep Learning, SQL",2024-06-17
Data Analyst,Capgemini,Mumbai,"Looking for a candidate with experience in Power BI, Pandas, Python, TensorFlow, Tableau, Docker, Machine Learning.","Power BI, Pandas, Python, TensorFlow, Tableau, Docker, Machine Learning",2023-04-23
Software Engineer,Accenture,Chennai,"Looking for a candidate with experience in TensorFlow, Tableau, Python, SQL, NLP.","TensorFlow, Tableau, Python, SQL, NLP",2024-02-05
AI Engineer,Microsoft,Hyderabad,"Looking for a candidate with experience in Power BI, Hadoop, Node.js, Docker.","Power BI, Hadoop, Node.js, Docker",2024-10-21
Full Stack Developer,Infosys,Pune,"Looking for a candidate with experience in Kubernetes, Scikit-learn, Python, PyTorch, TensorFlow, React, Machine Learning.","Kubernetes, Scikit-learn, Python, PyTorch, TensorFlow, React, Machine Learning",2023-12-03
Full Stack Developer,Oracle,Chennai,"Looking for a candidate with experience in Pandas, SQL, Deep Learning, Python.","Pandas, SQL, Deep Learning, Python",2024-03-02
Data Analyst,Infosys,Chennai,"Looking for a candidate with experience in Scikit-learn, Deep Learning, Node.js, AWS.","Scikit-learn, Deep Learning, Node.js, AWS",2024-04-20
